letter,a,n,w,z,j,f,r,i
a,1,0.035714286,0.107142857,0.125,0,0.035714286,0.107142857,0.125
n,0,0.75,0.107142857,0.125,0,0.035714286,0.107142857,0.125
w,0,0.035714286,0.25,0.125,0,0.035714286,0.107142857,0.125
z,0,0.035714286,0.107142857,0.125,0,0.035714286,0.107142857,0.125
j,0,0.035714286,0.107142857,0.125,1,0.035714286,0.107142857,0.125
f,0,0.035714286,0.107142857,0.125,0,0.75,0.107142857,0.125
r,0,0.035714286,0.107142857,0.125,0,0.035714286,0.25,0.125
i,0,0.035714286,0.107142857,0.125,0,0.035714286,0.107142857,0.125
