letter,e,s,m,q,x,c,h,o
e,1,0.035714286,0.107142857,0.125,0,0.035714286,0.107142857,0.125
s,0,0.75,0.107142857,0.125,0,0.035714286,0.107142857,0.125
m,0,0.035714286,0.25,0.125,0,0.035714286,0.107142857,0.125
q,0,0.035714286,0.107142857,0.125,0,0.035714286,0.107142857,0.125
x,0,0.035714286,0.107142857,0.125,1,0.035714286,0.107142857,0.125
c,0,0.035714286,0.107142857,0.125,0,0.75,0.107142857,0.125
h,0,0.035714286,0.107142857,0.125,0,0.035714286,0.25,0.125
o,0,0.035714286,0.107142857,0.125,0,0.035714286,0.107142857,0.125
